id,dimension,sourceDrivers,level,seedingQuestion,title,condition,role
C01,The shape of the public,The Fragmenting Public; From Sick Care to Self-Care,Level 3,What still holds people together enough to act on health collectively?,Shared civic public,People see health as a common responsibility and accept shared solutions.,Core
C02,The shape of the public,The Fragmenting Public; From Sick Care to Self-Care,Level 3,What still holds people together enough to act on health collectively?,Layered publics,"National consensus is weak, but local and identity-based communities coordinate internally.",Core
C03,The shape of the public,The Fragmenting Public; From Sick Care to Self-Care,Level 3,What still holds people together enough to act on health collectively?,Personalized publics,"People organize around individualized risks, values, and information feeds.",Core
C04,The shape of the public,The Fragmenting Public; From Sick Care to Self-Care,Level 3,What still holds people together enough to act on health collectively?,No common public,Health is treated mainly as a private responsibility and consumer choice.,Edge
C05,Where trust lives,The Trust Recession; The Power of One,Level 3,Who do people trust to guide health decisions?,Institutional recovery,"Public institutions regain trust through performance, transparency, and accountability.",Core
C06,Where trust lives,The Trust Recession; The Power of One,Level 3,Who do people trust to guide health decisions?,Trust goes local,"Clinicians, community health workers, and local leaders become the trusted layer.",Core
C07,Where trust lives,The Trust Recession; The Power of One,Level 3,Who do people trust to guide health decisions?,Trust moves to platforms,"People rely on brands, influencers, and personal AI for health guidance.",Core
C08,Where trust lives,The Trust Recession; The Power of One,Level 3,Who do people trust to guide health decisions?,Identity-bound trust,People accept guidance mainly from sources aligned with their group.,Edge
C09,How health truth is established,The Epistemic Crisis; The Outsourced Mind,Level 3,How do people decide what health information is real?,Verified evidence layer,Authentication and provenance restore a broadly shared factual baseline.,Core
C10,How health truth is established,The Epistemic Crisis; The Outsourced Mind,Level 3,How do people decide what health information is real?,Human-AI mediation,Trusted people and supervised AI translate evidence for different audiences.,Core
C11,How health truth is established,The Epistemic Crisis; The Outsourced Mind,Level 3,How do people decide what health information is real?,Competing evidence systems,"Communities use different experts, facts, and standards of proof.",Core
C12,How health truth is established,The Epistemic Crisis; The Outsourced Mind,Level 3,How do people decide what health information is real?,Synthetic fog,False and real content become too difficult to distinguish at scale.,Edge
C13,Public health's permission to act,Public Health Under Political Fire; The Lowered Shield,Level 3,How much permission does public health have to act?,Broad permission to act,Public health has durable civic support and clear legal authority.,Core
C14,Public health's permission to act,Public Health Under Political Fire; The Lowered Shield,Level 3,How much permission does public health have to act?,Issue-by-issue permission,Authority is accepted for some threats but contested for others.,Core
